M,D,T,curve_load
9,1,10,0.5236451320250204
9,1,11,0.536847634054338
9,1,12,0.5605643890560092
9,1,13,0.5364322207897627
9,1,14,0.5063219214057204
9,1,15,0.4886071718473954
9,1,16,0.49576946951248635
9,1,17,0.6058874086807049
9,1,18,0.6344697512295279
9,1,19,0.6127679893043022
9,1,20,0.6300959747887123
9,1,21,0.5830110299384044
9,1,22,0.5276321443919211
9,1,23,0.45609989017810254
9,1,24,0.3764885641980615
9,2,1,0.30663139235066617
9,2,2,0.26828534593897724
9,2,3,0.25019875376020634
9,2,4,0.24384131929522995
9,2,5,0.25077084228620544
9,2,6,0.2903496991834981
9,2,7,0.36747958745165454
9,2,8,0.4174258702191664
9,2,9,0.4431403094112592
9,2,10,0.4384266222604212
9,2,11,0.4355930382466696
9,2,12,0.44863826815642466
9,2,13,0.42729103996562107
9,2,14,0.41606682423721536
9,2,15,0.41863450795015045
9,2,16,0.45464116888697903
9,2,17,0.6017592393639881
9,2,18,0.6157257198109154
9,2,19,0.5857192737430169
9,2,20,0.6022937258272455
9,2,21,0.5835329823807478
9,2,22,0.5292973785990547
9,2,23,0.45842823377739583
9,2,24,0.37395519982810493
9,3,1,0.3192178770949721
9,3,2,0.274877524709927
9,3,3,0.2542329179200688
9,3,4,0.2467468844005157
9,3,5,0.2529351095831543
9,3,6,0.2979630425440482
9,3,7,0.3884916201117319
9,3,8,0.4424409110442631
9,3,9,0.4669875376020628
9,3,10,0.4574043833261711
9,3,11,0.4593553932101419
9,3,12,0.47417275461968206
9,3,13,0.4524452084228621
9,3,14,0.44542329179200696
9,3,15,0.4439449935539322
9,3,16,0.48040395358831117
9,3,17,0.6424666953158574
9,3,18,0.6608250966910185
9,3,19,0.6572668672110014
9,3,20,0.6493253115599485
9,3,21,0.6044348947142244
9,3,22,0.5459389772238935
9,3,23,0.4766910184787281
9,3,24,0.38937688010313715
10,1,1,0.35058969584109256
10,1,2,0.30439287590125585
10,1,3,0.274955832497732
10,1,4,0.262278565630521
10,1,5,0.26288974836460877
10,1,6,0.27811201833548205
10,1,7,0.3206321921405721
10,1,8,0.4214821181301629
10,1,9,0.5313087905266677
10,1,10,0.5755479157713795
10,1,11,0.6091247672253259
10,1,12,0.6287828868834456
10,1,13,0.614873704817839
10,1,14,0.5887886167215777
10,1,15,0.5675786659026882
10,1,16,0.5802368333094591
